Date;Fitted_values
02/10/2001;-245.1135436
03/10/2001;-225.2767057
04/10/2001;-222.079795
05/10/2001;-214.0212718
08/10/2001;-221.4145338
09/10/2001;-230.1908244
10/10/2001;-204.5460619
11/10/2001;-186.8430449
12/10/2001;-195.7073329
15/10/2001;-200.323809
16/10/2001;-192.0523136
17/10/2001;-203.5341664
18/10/2001;-200.9791161
19/10/2001;-203.6442709
22/10/2001;-176.7209271
23/10/2001;-177.1163873
24/10/2001;-172.6795951
25/10/2001;-155.3557737
26/10/2001;-143.6026841
29/10/2001;-156.6396082
30/10/2001;-176.6095128
31/10/2001;-176.3331062
01/11/2001;-152.4264805
02/11/2001;-146.2365071
05/11/2001;-127.709924
06/11/2001;-105.2707515
07/11/2001;-107.7263864
08/11/2001;-99.88817134
09/11/2001;-97.60223042
12/11/2001;-93.683436
13/11/2001;-74.04958167
14/11/2001;-75.44604102
15/11/2001;-73.60022717
16/11/2001;-73.67262608
19/11/2001;-60.55214791
20/11/2001;-70.45215912
21/11/2001;-78.36757838
23/11/2001;-70.50668241
26/11/2001;-67.11257806
27/11/2001;-76.42929491
28/11/2001;-99.99744048
29/11/2001;-84.16525724
30/11/2001;-71.64396453
03/12/2001;-87.44260516
04/12/2001;-68.19510319
05/12/2001;-39.34451175
06/12/2001;-35.61353754
07/12/2001;-44.78912897
10/12/2001;-61.52141426
11/12/2001;-54.30259298
12/12/2001;-51.59443183
13/12/2001;-67.99813878
14/12/2001;-70.87215632
17/12/2001;-60.97462364
18/12/2001;-49.63628869
19/12/2001;-39.61609444
20/12/2001;-51.49322065
21/12/2001;-43.7089239
24/12/2001;-43.71161268
26/12/2001;-34.51259486
27/12/2001;-29.336492
28/12/2001;-30.59514176
31/12/2001;-43.31551985
02/01/2002;-34.90831405
03/01/2002;-24.20116819
04/01/2002;-18.34089497
07/01/2002;-26.41857392
08/01/2002;-36.79926155
09/01/2002;-48.63950747
10/01/2002;-49.60710462
11/01/2002;-60.25011899
14/01/2002;-63.97886261
15/01/2002;-47.06257486
16/01/2002;-70.40785114
17/01/2002;-56.44178595
18/01/2002;-67.48306526
22/01/2002;-73.50673194
23/01/2002;-65.316865
24/01/2002;-56.40061234
25/01/2002;-43.62852988
28/01/2002;-42.00954527
29/01/2002;-71.81283042
30/01/2002;-65.81990296
31/01/2002;-49.72372636
01/02/2002;-54.69495208
04/02/2002;-81.93443245
05/02/2002;-92.09713975
06/02/2002;-95.5416782
07/02/2002;-99.65441101
08/02/2002;-81.22666083
11/02/2002;-67.1052958
12/02/2002;-75.16460383
13/02/2002;-63.91898312
14/02/2002;-61.55652919
15/02/2002;-74.14116754
19/02/2002;-99.44859213
20/02/2002;-87.50525785
21/02/2002;-106.7767358
22/02/2002;-104.5916475
25/02/2002;-86.74389309
26/02/2002;-82.96726354
27/02/2002;-76.62830956
28/02/2002;-70.51178772
01/03/2002;-48.84148033
04/03/2002;-19.27662608
05/03/2002;-23.44876302
06/03/2002;-4.184322384
07/03/2002;-7.319738921
08/03/2002;3.223420584
11/03/2002;17.60995141
12/03/2002;17.31783583
13/03/2002;9.671010738
14/03/2002;2.997826504
15/03/2002;12.9298956
18/03/2002;14.34246477
19/03/2002;22.26892827
20/03/2002;2.12129747
21/03/2002;4.956265723
22/03/2002;-0.518542498
25/03/2002;-15.88137999
26/03/2002;-15.87775198
27/03/2002;-15.10948826
28/03/2002;-12.01438412
01/04/2002;-10.75575173
02/04/2002;-21.4278665
03/04/2002;-35.43774255
04/04/2002;-37.25122892
05/04/2002;-43.9454459
08/04/2002;-47.27709194
09/04/2002;-58.29817592
10/04/2002;-46.10650052
11/04/2002;-66.78522035
12/04/2002;-53.45914124
15/04/2002;-67.17385999
16/04/2002;-39.53009554
17/04/2002;-38.6231742
18/04/2002;-38.20131495
19/04/2002;-37.63650563
22/04/2002;-51.89936542
23/04/2002;-51.12174217
24/04/2002;-58.11511165
25/04/2002;-56.09902976
26/04/2002;-75.36625963
29/04/2002;-91.67030885
30/04/2002;-81.0482547
01/05/2002;-66.96406791
02/05/2002;-67.91827649
03/05/2002;-76.61834913
06/05/2002;-98.51554537
07/05/2002;-100.2735925
08/05/2002;-64.86621062
09/05/2002;-81.20146572
10/05/2002;-101.3316301
13/05/2002;-82.20088527
14/05/2002;-55.72072284
15/05/2002;-58.92930415
16/05/2002;-54.05799702
17/05/2002;-47.53006367
20/05/2002;-64.83803818
21/05/2002;-80.34305342
22/05/2002;-75.8963442
23/05/2002;-57.49695874
24/05/2002;-61.37226201
28/05/2002;-77.04290964
29/05/2002;-84.41911336
30/05/2002;-86.941592
31/05/2002;-82.33208242
03/06/2002;-108.4742921
04/06/2002;-108.1376705
05/06/2002;-90.05150734
06/06/2002;-106.6556007
07/06/2002;-106.4650607
10/06/2002;-106.2837386
11/06/2002;-124.2368607
12/06/2002;-119.2104618
13/06/2002;-126.9324086
14/06/2002;-129.9128092
17/06/2002;-97.69493962
18/06/2002;-91.43333478
19/06/2002;-104.3371316
20/06/2002;-126.0102823
21/06/2002;-147.988013
24/06/2002;-144.3423719
25/06/2002;-159.0557555
26/06/2002;-164.9604332
27/06/2002;-149.1534283
28/06/2002;-148.4503664
01/07/2002;-171.909831
02/07/2002;-198.6981054
03/07/2002;-195.7831183
05/07/2002;-158.8721601
